participantId,timestamp,x,y,z
1,99208,1552,-2129,3274
1,99248,1530,-2135,3322
1,99288,1589,-2166,3251
1,99329,1586,-2167,3288
1,99368,1560,-2177,3262
1,99409,1563,-2148,3293
1,99449,1564,-2155,3265
1,99489,1571,-2150,3268
1,99530,1594,-2181,3319
1,99569,1574,-2113,3256
1,99609,1554,-2124,3238
1,99650,1573,-2190,3311
1,99690,1589,-2121,3284
1,99731,1550,-2162,3283
1,99770,1558,-2119,3294
1,99810,1593,-2168,3306
1,99851,1550,-2201,3297
1,99891,1614,-2143,3214
1,99932,1589,-2122,3301
1,99971,1533,-2138,3266
1,100012,1589,-2100,3313
1,100052,1573,-2175,3268
1,100092,1554,-2163,3268
1,100133,1570,-2146,3280
1,100173,1559,-2116,3262
1,100213,1569,-2149,3312
1,100253,1559,-2130,3288
1,100293,1585,-2143,3285
1,100334,1578,-2071,3245
1,100374,1570,-2100,3235
1,100414,1593,-2165,3317
1,100454,1593,-2180,3192
1,100495,1558,-2172,3324
1,100535,1589,-2102,3274
1,100585,1582,-2171,3251
1,100625,1569,-2192,3302
1,100665,1575,-2155,3245
1,100705,1594,-2132,3330
1,100746,1574,-2117,3260
1,100785,1575,-2176,3293
1,100825,1584,-2147,3269
1,100865,1529,-2153,3298
1,100905,1605,-2163,3271
1,100946,1576,-2130,3271
1,100985,1601,-2143,3280
1,101025,1559,-2182,3282
1,101065,1599,-2139,3254
1,101106,1571,-2174,3247
1,101147,1536,-2181,3329
1,101186,1590,-2205,3308
1,101226,1571,-2095,3233
1,101267,1511,-2162,3291
1,101307,1551,-2123,3263
1,101348,1581,-2181,3280
1,101388,1574,-2197,3304
1,101428,1551,-2116,3252
1,101469,1528,-2153,3322
1,101509,1528,-2107,3250
1,101550,1578,-2138,3297
1,101589,1552,-2175,3282
1,101629,1558,-2184,3271
1,101670,1563,-2169,3291
1,101710,1547,-2151,3259
1,101751,1576,-2149,3319
1,101791,1554,-2125,3274
1,101831,1579,-2133,3279
1,101871,1577,-2212,3301
1,101911,1585,-2169,3262
1,101952,1545,-2150,3263
1,101992,1567,-2100,3290
1,102032,1543,-2172,3301
1,102072,1560,-2188,3297
1,102113,1563,-2167,3275
1,102154,1549,-2142,3336
1,102193,1596,-2124,3257
1,102233,1593,-2201,3266
1,102274,1556,-2130,3290
1,102314,1562,-2138,3256
1,102355,1581,-2155,3274
1,102394,1579,-2165,3264
1,102435,1559,-2185,3262
1,102475,1589,-2162,3319
1,102515,1585,-2089,3229
1,102556,1552,-2174,3314
1,102595,1581,-2177,3310
1,102636,1586,-2167,3258
1,102676,1580,-2144,3290
1,102716,1575,-2135,3275
1,102757,1559,-2182,3266
1,102797,1615,-2174,3306
1,102837,1545,-2161,3247
1,102877,1571,-2104,3321
1,102918,1576,-2151,3293
1,102958,1587,-2154,3231
1,102998,1586,-2164,3319
1,103038,1536,-2140,3264
1,103078,1614,-2136,3267
1,103119,1560,-2157,3294
1,103159,1593,-2141,3269
1,103199,1570,-2141,3302
1,103239,1574,-2122,3236
1,103279,1593,-2150,3286
1,103319,1572,-2147,3297
1,103360,1561,-2147,3241
1,103400,1563,-2192,3345
1,103440,1568,-2201,3259
1,103480,1591,-2146,3268
1,103520,1538,-2137,3323
1,103561,1588,-2135,3262
1,103600,1540,-2147,3319
1,103641,1597,-2140,3241
1,103681,1551,-2137,3299
1,103721,1556,-2167,3277
1,103762,1560,-2161,3280
1,103801,1567,-2168,3316
1,103841,1550,-2188,3252
1,103882,1537,-2155,3287
1,103922,1583,-2184,3274
1,103963,1506,-2133,3252
1,104002,1535,-2153,3343
1,104042,1554,-2173,3251
1,104082,1536,-2133,3317
1,104123,1511,-2194,3279
1,104163,1580,-2146,3250
1,104203,1549,-2163,3310
1,104243,1550,-2140,3277
1,104283,1587,-2138,3305
1,104323,1579,-2171,3340
1,104364,1583,-2158,3245
1,104403,1569,-2152,3260
1,104444,1549,-2175,3275
1,104484,1572,-2131,3236
1,104524,1575,-2164,3315
1,104565,1549,-2130,3280
1,104605,1566,-2156,3262
1,104645,1557,-2152,3290
1,104685,1578,-2149,3251
1,104725,1559,-2163,3294
1,104766,1596,-2184,3274
1,104806,1569,-2134,3242
1,104846,1571,-2151,3269
1,104886,1581,-2170,3300
1,104926,1587,-2100,3246
1,104967,1540,-2138,3275
1,105006,1573,-2181,3272
1,105047,1543,-2148,3277
1,105087,1563,-2151,3314
1,105127,1541,-2152,3290
1,105168,1585,-2135,3259
1,105208,1587,-2152,3270
1,105248,1590,-2153,3271
1,105288,1569,-2150,3271
1,105329,1635,-2109,3274
1,105369,1592,-2112,3297
1,105409,1610,-2135,3278
1,105449,1575,-2136,3278
1,105489,1562,-2160,3270
1,105530,1605,-2213,3290
1,105571,1587,-2168,3281
1,105610,1597,-2101,3293
1,105650,1581,-2117,3307
1,105691,1555,-2146,3265
1,105731,1564,-2132,3323
1,105772,1587,-2172,3286
1,105812,1572,-2178,3255
1,105852,1585,-2150,3298
1,105892,1585,-2144,3295
1,105932,1538,-2151,3270
1,105973,1540,-2182,3348
1,106013,1615,-2142,3258
1,106053,1535,-2132,3265
1,106093,1563,-2190,3315
1,106134,1589,-2138,3262
1,106175,1500,-2122,3322
1,106214,1531,-2177,3292
1,106254,1552,-2158,3255
1,106295,1548,-2179,3277
1,106335,1539,-2157,3320
1,106376,1585,-2150,3260
1,106415,1539,-2140,3325
1,106455,1521,-2162,3245
1,106496,1564,-2176,3305
1,106536,1540,-2168,3294
1,106577,1591,-2149,3249
1,106616,1508,-2189,3346
1,106657,1542,-2108,3231
1,106697,1568,-2132,3254
1,106737,1523,-2167,3307
1,106778,1583,-2137,3296
1,106818,1582,-2162,3264
1,106858,1522,-2155,3345
1,106898,1583,-2122,3223
1,106939,1552,-2178,3283
1,106980,1585,-2172,3292
1,107019,1538,-2159,3279
1,107059,1583,-2123,3341
1,107099,1576,-2117,3270
1,107140,1568,-2169,3287
